epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,268.28,0.88442,3.05124,0.49734,0.7843,1.02506,0.98541,0.9794,0.99366,0.85769,0.98541,0.9794,0.99367,0.90591,0.56699,0.50399,0.20045,0.38111,0.86436,0.00999095,0.00333032,0.00999095,0.00333032,0.00999095,0.00333032,0.00999095,0.00333032
2,489.481,0.70767,0.96254,0.30503,0.47204,0.91695,0.98006,0.98077,0.99299,0.86176,0.97905,0.9812,0.99258,0.93917,0.55382,0.356,0.09298,0.40978,0.86527,0.019793,0.00659768,0.019793,0.00659768,0.019793,0.00659768,0.019793,0.00659768
3,691.269,0.72489,0.84454,0.21531,0.48641,0.92795,0.98395,0.97425,0.99322,0.85481,0.98454,0.97484,0.99333,0.93752,0.56534,0.35817,0.05104,0.39023,0.87548,0.0293971,0.00979904,0.0293971,0.00979904,0.0293971,0.00979904,0.0293971,0.00979904
4,880.645,0.69409,0.73354,0.15639,0.46955,0.92216,0.9911,0.98353,0.99448,0.87395,0.9915,0.98402,0.99444,0.96089,0.50876,0.2721,0.0251,0.34155,0.86196,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1110.91,0.6359,0.61216,0.12007,0.426,0.90577,0.9932,0.97998,0.99434,0.89042,0.9932,0.97998,0.99436,0.96654,0.48131,0.24317,0.01696,0.32122,0.85545,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1548.65,0.59781,0.54556,0.1013,0.39688,0.89183,0.99234,0.98685,0.99481,0.90641,0.99234,0.98685,0.9948,0.97235,0.4414,0.21215,0.01385,0.29359,0.84178,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2011.84,0.57014,0.5072,0.08692,0.38187,0.88632,0.99546,0.98967,0.99489,0.91818,0.99546,0.98967,0.99489,0.9784,0.40806,0.17772,0.00939,0.27703,0.83251,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2455.09,0.5452,0.46384,0.07807,0.3643,0.87684,0.99624,0.98878,0.99489,0.92151,0.99644,0.98897,0.9949,0.97836,0.39997,0.16742,0.01023,0.26673,0.82983,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2882.83,0.52801,0.44191,0.07284,0.35232,0.87287,0.99605,0.98941,0.99491,0.92691,0.99566,0.98986,0.99491,0.98083,0.38376,0.15598,0.00816,0.25785,0.82639,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3301.87,0.51959,0.42292,0.06813,0.34583,0.8715,0.99573,0.99137,0.99496,0.93158,0.99573,0.99137,0.99496,0.98197,0.37053,0.14521,0.0068,0.2476,0.82291,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3738.02,0.50636,0.4054,0.06585,0.33762,0.86756,0.99665,0.99299,0.99495,0.93732,0.99665,0.99299,0.99495,0.98298,0.35051,0.13233,0.00717,0.24025,0.81775,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4039.26,0.49524,0.39282,0.06216,0.33015,0.86456,0.99823,0.99344,0.99497,0.93633,0.99823,0.99344,0.99497,0.9853,0.3559,0.12797,0.00682,0.23556,0.81971,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4238.25,0.48198,0.37587,0.06014,0.32214,0.86061,0.99704,0.9917,0.99495,0.93936,0.99744,0.99209,0.99496,0.98313,0.33882,0.12455,0.00598,0.22694,0.81376,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4441.98,0.47635,0.36388,0.05824,0.31666,0.8597,0.9976,0.99274,0.99499,0.9448,0.99688,0.99352,0.99499,0.98527,0.32628,0.11613,0.00468,0.22202,0.81195,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4642.8,0.46853,0.3524,0.05622,0.31404,0.85655,0.99724,0.99252,0.99498,0.94548,0.99744,0.99271,0.99498,0.98627,0.32619,0.11468,0.00506,0.22082,0.81062,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4838.52,0.46406,0.34675,0.05503,0.30938,0.85421,0.99724,0.99286,0.99499,0.94896,0.99724,0.99286,0.99499,0.9864,0.31627,0.10646,0.00474,0.21609,0.80908,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5030.54,0.45754,0.33911,0.0536,0.30571,0.85243,0.99632,0.99411,0.99495,0.95118,0.99622,0.99392,0.99495,0.98652,0.30764,0.10341,0.00406,0.21053,0.80561,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5226.6,0.45067,0.32672,0.05236,0.30249,0.85157,0.99787,0.99333,0.99499,0.95191,0.99787,0.99333,0.99499,0.98656,0.30359,0.10262,0.0041,0.2076,0.80628,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5429.05,0.44767,0.32797,0.05174,0.2983,0.85116,0.99871,0.99333,0.99499,0.95236,0.99871,0.99333,0.99499,0.9866,0.29758,0.09874,0.00388,0.20292,0.80544,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5630.58,0.4447,0.31861,0.05109,0.29796,0.84981,0.99821,0.99431,0.995,0.95507,0.99821,0.99431,0.995,0.9886,0.29529,0.09411,0.00375,0.20131,0.80432,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5825.02,0.43414,0.31045,0.04897,0.2922,0.8477,0.99842,0.9944,0.995,0.95813,0.99842,0.9944,0.995,0.98865,0.2827,0.09092,0.00366,0.1952,0.80136,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6018.68,0.4339,0.30887,0.04882,0.29078,0.84598,0.99921,0.9933,0.995,0.95768,0.99921,0.9933,0.995,0.98761,0.28327,0.09061,0.0033,0.19387,0.80184,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6265.29,0.42955,0.30627,0.04787,0.28787,0.84649,0.99921,0.99413,0.995,0.95941,0.99921,0.99413,0.995,0.98868,0.27842,0.08667,0.00321,0.19141,0.80023,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6451.97,0.42199,0.29401,0.04719,0.28425,0.84306,0.99882,0.99442,0.995,0.96129,0.99882,0.99442,0.995,0.9897,0.27129,0.08283,0.00307,0.18735,0.79863,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6637.72,0.41894,0.28745,0.04629,0.2809,0.84327,0.99907,0.99431,0.995,0.96138,0.99907,0.99431,0.995,0.98968,0.26931,0.082,0.00301,0.1847,0.79942,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6823.59,0.42052,0.29088,0.04624,0.28229,0.84408,0.99878,0.99431,0.99499,0.96255,0.99878,0.99431,0.99499,0.98968,0.26461,0.07977,0.00293,0.18436,0.79707,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7009.76,0.41581,0.28723,0.0452,0.2798,0.84303,0.99941,0.99464,0.995,0.96289,0.99941,0.99464,0.995,0.98974,0.26221,0.07887,0.00274,0.18244,0.79735,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7196.85,0.41364,0.28456,0.0452,0.2777,0.84281,0.99921,0.99469,0.995,0.96257,0.99921,0.99469,0.995,0.98968,0.25964,0.07848,0.00272,0.17927,0.7969,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7382.8,0.40778,0.28162,0.04415,0.27456,0.83953,0.99873,0.9949,0.995,0.96391,0.99853,0.9947,0.995,0.99072,0.2572,0.07575,0.00282,0.17765,0.7966,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7569.86,0.4065,0.27178,0.04429,0.27395,0.84018,0.99866,0.9949,0.99499,0.96305,0.99866,0.9949,0.99499,0.99072,0.25455,0.07527,0.00244,0.1754,0.7952,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7755.74,0.40147,0.2754,0.04318,0.27128,0.83895,0.99961,0.99546,0.995,0.96521,0.99961,0.99546,0.995,0.99075,0.25145,0.07359,0.00243,0.17418,0.7953,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7941.24,0.39906,0.26902,0.04239,0.27005,0.83873,0.99961,0.99543,0.995,0.96521,0.99961,0.99543,0.995,0.99075,0.25002,0.0723,0.00241,0.17183,0.7945,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8125.52,0.39888,0.2667,0.04153,0.26859,0.83823,0.99921,0.99492,0.995,0.96661,0.99921,0.99492,0.995,0.99079,0.24652,0.06992,0.00231,0.17001,0.79404,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8310.25,0.39713,0.26277,0.04094,0.26772,0.83731,0.99937,0.99549,0.995,0.96551,0.99957,0.99568,0.995,0.99081,0.24498,0.06985,0.00232,0.16819,0.79363,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8494.56,0.39244,0.2578,0.041,0.26459,0.83613,0.99923,0.9949,0.995,0.96623,0.99943,0.99509,0.995,0.99079,0.2421,0.06905,0.00215,0.16705,0.79295,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8680.71,0.391,0.2558,0.03977,0.26371,0.83664,0.99861,0.99568,0.995,0.96752,0.99907,0.99549,0.995,0.99077,0.24003,0.06795,0.00217,0.16466,0.7926,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8865.34,0.388,0.25392,0.04052,0.26124,0.83573,0.99921,0.99567,0.995,0.96799,0.99921,0.99567,0.995,0.99074,0.23985,0.06804,0.0022,0.16396,0.79272,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9050.46,0.38626,0.25174,0.04026,0.26088,0.83487,0.99926,0.99549,0.995,0.96824,0.99926,0.99549,0.995,0.99076,0.23834,0.06703,0.00207,0.16253,0.7922,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9234.47,0.38421,0.25016,0.03979,0.25982,0.8356,0.99869,0.99647,0.995,0.96892,0.99941,0.99563,0.995,0.99076,0.23573,0.06636,0.002,0.16192,0.79138,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9419.86,0.38269,0.25238,0.03974,0.26003,0.83492,0.99896,0.99627,0.995,0.96901,0.99896,0.99627,0.995,0.99076,0.23389,0.065,0.00197,0.16092,0.79083,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9603.99,0.38147,0.24947,0.03924,0.25796,0.83351,0.99941,0.99565,0.995,0.96921,0.99941,0.99565,0.995,0.99076,0.23235,0.06426,0.00193,0.16013,0.79054,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9788.7,0.37669,0.24378,0.03852,0.25473,0.8325,0.99904,0.99608,0.995,0.96954,0.99904,0.99608,0.995,0.99076,0.2307,0.06377,0.00193,0.15868,0.78977,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9971.64,0.37242,0.23945,0.03838,0.25163,0.83041,0.99921,0.99574,0.995,0.97067,0.99921,0.99574,0.995,0.99076,0.22964,0.06292,0.00186,0.1574,0.78945,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10160.9,0.37307,0.23712,0.0375,0.25303,0.832,0.99941,0.99545,0.995,0.97076,0.99941,0.99555,0.995,0.99178,0.22738,0.06225,0.00186,0.15719,0.78895,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10345.1,0.37157,0.23732,0.03742,0.25204,0.83047,0.9998,0.99515,0.995,0.97088,0.9998,0.99515,0.995,0.99179,0.22634,0.06159,0.00184,0.15682,0.78878,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10529.7,0.37069,0.2376,0.03709,0.2511,0.83291,0.99921,0.99573,0.995,0.97091,0.99902,0.99554,0.995,0.99179,0.22506,0.06094,0.00179,0.15617,0.78858,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10714.4,0.36723,0.23021,0.03655,0.24859,0.83,0.99948,0.99568,0.995,0.97096,0.99929,0.99568,0.995,0.99178,0.22404,0.0609,0.0018,0.1551,0.78838,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10898.3,0.36754,0.22732,0.03658,0.24922,0.82959,0.99966,0.99549,0.995,0.971,0.99924,0.99568,0.995,0.9918,0.22286,0.06031,0.00177,0.15471,0.78795,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11083.3,0.36399,0.22909,0.03565,0.24724,0.83076,0.99961,0.99562,0.995,0.97197,0.99949,0.99549,0.995,0.9918,0.22138,0.05984,0.00172,0.15359,0.78762,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11268.2,0.36282,0.22652,0.03545,0.2461,0.82983,0.99986,0.99568,0.995,0.97208,0.99966,0.99549,0.995,0.99182,0.22034,0.05921,0.00168,0.15306,0.78733,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11452,0.36036,0.22645,0.03497,0.24521,0.82904,1,0.99568,0.995,0.97205,0.9998,0.99566,0.995,0.99181,0.21936,0.05832,0.00164,0.15186,0.78702,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11636,0.35903,0.22436,0.03484,0.24402,0.8278,1,0.99549,0.995,0.97215,0.9996,0.99588,0.995,0.99183,0.21889,0.05811,0.0016,0.15159,0.78701,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11820.9,0.35717,0.21559,0.03439,0.2436,0.82599,1,0.99548,0.995,0.97212,1,0.99574,0.995,0.99183,0.21807,0.05772,0.00159,0.151,0.78666,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12006.4,0.35318,0.21665,0.03421,0.24036,0.82665,1,0.99548,0.995,0.97209,0.99949,0.99588,0.995,0.99183,0.21712,0.05726,0.00156,0.15022,0.78648,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
