epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.06,0.91977,3.22184,0.49393,0.81884,1.02953,0.98199,0.97235,0.99211,0.84595,0.98277,0.9708,0.9919,0.87607,0.60375,0.61206,0.20969,0.39465,0.86377,0.0099897,0.0033299,0.0099897,0.0033299,0.0099897,0.0033299,0.0099897,0.0033299
2,470.964,0.73224,1.03126,0.30248,0.48457,0.91439,0.98004,0.97389,0.99262,0.84695,0.97837,0.97437,0.99272,0.91614,0.59335,0.40029,0.09712,0.40687,0.8717,0.0197918,0.00659727,0.0197918,0.00659727,0.0197918,0.00659727,0.0197918,0.00659727
3,658.776,0.74622,0.87872,0.22527,0.49765,0.92406,0.97705,0.96791,0.9918,0.84454,0.9766,0.96747,0.99116,0.92571,0.60363,0.41796,0.05769,0.42026,0.88194,0.0293959,0.00979864,0.0293959,0.00979864,0.0293959,0.00979864,0.0293959,0.00979864
4,839.186,0.71809,0.76036,0.16797,0.47947,0.92241,0.98756,0.97771,0.99384,0.86653,0.9883,0.97904,0.99385,0.94991,0.54615,0.32247,0.03136,0.37476,0.86535,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1018.48,0.65488,0.63256,0.12951,0.43846,0.90383,0.9886,0.98559,0.99454,0.88423,0.98882,0.98581,0.99455,0.96482,0.49569,0.24261,0.02021,0.32989,0.85222,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1196.06,0.61737,0.57695,0.10538,0.40818,0.89081,0.9886,0.98529,0.99461,0.89959,0.98794,0.98567,0.99457,0.96794,0.46465,0.22879,0.01775,0.31227,0.84176,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1372.65,0.58346,0.52649,0.09211,0.38877,0.88091,0.99324,0.98886,0.99488,0.90979,0.99273,0.98997,0.99488,0.97581,0.43844,0.19039,0.01154,0.29086,0.83219,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1549.88,0.56312,0.48454,0.08198,0.3704,0.87455,0.9944,0.98851,0.99491,0.91454,0.9944,0.98851,0.99489,0.97644,0.42926,0.17948,0.00991,0.27773,0.83046,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1724.89,0.54734,0.46121,0.07402,0.36102,0.86945,0.99418,0.98997,0.99486,0.92153,0.99603,0.98863,0.99486,0.97983,0.40466,0.16932,0.00882,0.26731,0.82482,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1900.21,0.53295,0.44025,0.07148,0.35318,0.86806,0.99602,0.98997,0.99495,0.92646,0.99619,0.99042,0.99496,0.98082,0.39399,0.15916,0.00813,0.26176,0.8213,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2074.67,0.51702,0.41868,0.0667,0.34242,0.86167,0.99571,0.99198,0.99494,0.93197,0.99563,0.99198,0.99494,0.98293,0.3798,0.14373,0.00676,0.25225,0.81831,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2249.16,0.50825,0.40786,0.06352,0.33721,0.85952,0.99642,0.99125,0.99483,0.93623,0.99602,0.99153,0.99483,0.98421,0.36133,0.13856,0.00684,0.24413,0.81413,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2428.23,0.49639,0.38539,0.05902,0.32972,0.85494,0.99681,0.99354,0.99498,0.93871,0.99681,0.99354,0.99498,0.98435,0.35759,0.13236,0.0059,0.23844,0.81256,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2601.68,0.4896,0.37473,0.05846,0.32504,0.85292,0.99414,0.99465,0.99496,0.94408,0.99391,0.99443,0.99496,0.98522,0.34369,0.12879,0.00641,0.23227,0.80879,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
