epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,309.44,2.06016,15.3464,0.63102,1.7258,1.42996,0.78699,0.81414,0.86808,0.38055,0.74621,0.76778,0.76452,0.22173,1.5973,8.10267,0.50632,1.1401,1.20293,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,574.318,1.81949,10.5243,0.49325,1.25583,1.21328,0.71612,0.78087,0.82773,0.37908,0.73864,0.75593,0.82301,0.27934,1.58093,7.50814,0.34064,1.1723,1.19755,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434
3,799.714,1.87036,9.87546,0.41476,1.29599,1.2257,0.7755,0.80781,0.85599,0.4242,0.7852,0.82346,0.86472,0.36039,1.53815,6.57459,0.25836,1.11294,1.18894,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574
4,1015.46,1.89144,9.38259,0.36253,1.32137,1.24843,0.70245,0.8223,0.82612,0.40303,0.71013,0.83129,0.81843,0.31367,1.52713,6.62443,0.17349,1.17411,1.19249,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1230.94,1.84019,9.11019,0.33369,1.265,1.21686,0.73656,0.80826,0.85371,0.42242,0.75451,0.79666,0.85954,0.33692,1.46357,6.60987,0.1472,1.13047,1.15987,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1443.23,1.80954,8.90177,0.31219,1.22186,1.18176,0.74479,0.83238,0.86169,0.4402,0.76289,0.84546,0.87105,0.409,1.35012,5.45843,0.1406,1.10913,1.11511,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1659.14,1.70501,8.32808,0.28511,1.18145,1.16112,0.8055,0.84317,0.89982,0.43655,0.80925,0.8471,0.88777,0.34127,1.39629,6.23917,0.11905,1.07282,1.12991,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1871.35,1.7018,8.36648,0.26655,1.1818,1.15206,0.76748,0.80253,0.8703,0.44517,0.76787,0.81686,0.85916,0.32995,1.28284,5.90573,0.10857,1.05694,1.08823,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2089.42,1.69542,8.29416,0.2557,1.15236,1.12803,0.79312,0.82216,0.89445,0.49931,0.79194,0.82093,0.8929,0.41351,1.26273,5.47846,0.09674,0.9918,1.07473,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2338.26,1.6617,8.13697,0.24163,1.14447,1.12034,0.76419,0.82542,0.86829,0.45086,0.77634,0.83688,0.88012,0.38007,1.23972,5.40313,0.08807,1.05462,1.06959,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2580.12,1.57619,7.63089,0.2297,1.1054,1.12428,0.75976,0.85037,0.88124,0.47228,0.7601,0.86795,0.88149,0.38662,1.25221,5.48787,0.08703,1.06059,1.08949,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2780.46,1.55454,7.58599,0.22396,1.08955,1.09793,0.76154,0.82911,0.88642,0.47761,0.7679,0.85405,0.89191,0.37724,1.20091,5.25396,0.08514,1.01699,1.05048,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,234.858,1.56998,7.72144,0.21354,1.10914,1.09209,0.76181,0.85854,0.88342,0.51391,0.75442,0.87163,0.88394,0.42471,1.15267,5.18112,0.07893,0.98913,1.03356,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,501.722,1.57108,7.64205,0.21112,1.08816,1.094,0.78385,0.84914,0.90792,0.5314,0.77953,0.86442,0.90939,0.44395,1.19367,5.06259,0.07311,0.95166,1.04046,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,734.376,1.54951,7.49132,0.20519,1.07779,1.08207,0.78335,0.83933,0.90649,0.52487,0.78623,0.86309,0.91174,0.42889,1.14395,5.04596,0.06875,0.95072,1.02309,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,950.023,1.5106,7.29074,0.19553,1.06742,1.08396,0.74442,0.85895,0.88961,0.53323,0.75151,0.86713,0.89667,0.41738,1.12957,4.89475,0.06074,0.94743,1.02239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1162.31,1.52903,7.42581,0.19654,1.07121,1.08059,0.79742,0.86182,0.91268,0.50713,0.79893,0.86672,0.90746,0.38426,1.19161,5.38802,0.05791,0.95551,1.0362,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1371.86,1.53163,7.38302,0.19434,1.06455,1.06777,0.73423,0.86628,0.88811,0.51504,0.74588,0.87599,0.89289,0.42106,1.10358,4.75687,0.06311,0.95446,1.01054,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1590.22,1.46931,7.06058,0.18703,1.04965,1.06995,0.79706,0.83659,0.90715,0.50556,0.79914,0.85718,0.91397,0.36268,1.12451,5.25887,0.05434,0.9608,1.02158,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1798.16,1.47829,7.16291,0.18225,1.04908,1.06041,0.7373,0.86631,0.88903,0.51714,0.75017,0.8888,0.89669,0.40327,1.09745,4.95016,0.05526,0.95858,1.00802,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
